## Symbol Dependencies
name,kind,location,is_cycle,is_static,dependencies
xmlPatternFromRoot,function,pattern.c:2345,,,xmlPattern;XMLPUBFUN
xmlRelaxNGFree,function,relaxng.c:740,,,xmlRelaxNG;XMLPUBFUN
xmlRelaxParserSetFlag,function,relaxng.c:1329,,,xmlRelaxNGParserCtxt;XMLPUBFUN
xmlRelaxNGInitTypes,function,relaxng.c:2686,,,XMLPUBFUN
xmlRelaxNGCleanupTypes,function,relaxng.c:2719,,,
xmlRelaxNGNewMemParserCtxt,function,relaxng.c:6498,,,xmlRelaxNGParserCtxtPtr;xmlRelaxNGParserCtxt
xmlRelaxNGFreeParserCtxt,function,relaxng.c:6557,,,xmlRelaxNGParserCtxt;XMLPUBFUN
xmlRelaxNGParse,function,relaxng.c:7199,,,xmlRelaxNGDefinePtr;xmlRelaxNGParserCtxt;xmlRelaxNG;xmlRelaxNGPtr;xmlDocPtr;xmlNodePtr
xmlRelaxNGSetParserErrors,function,relaxng.c:7337,,,xmlRelaxNGValidityErrorFunc;xmlRelaxNGValidityWarningFunc;xmlRelaxNGParserCtxt;XMLPUBFUN
xmlRelaxNGGetParserErrors,function,relaxng.c:7359,,,xmlRelaxNGValidityErrorFunc;xmlRelaxNGValidityWarningFunc;xmlRelaxNGParserCtxt;XMLPUBFUN
xmlRelaxNGSetParserStructuredErrors,function,relaxng.c:7382,,,xmlRelaxNGParserCtxt;xmlStructuredErrorFunc;XMLPUBFUN
xmlRelaxNGSetResourceLoader,function,relaxng.c:7402,,,xmlRelaxNGParserCtxt;XMLPUBFUN;xmlResourceLoader
xmlRelaxNGDump,function,relaxng.c:7599,,,xmlRelaxNG;XMLPUBFUN
xmlRelaxNGDumpTree,function,relaxng.c:7629,,,xmlRelaxNG;XMLPUBFUN
xmlRelaxNGNewValidCtxt,function,relaxng.c:10450,,,xmlRelaxNGValidCtxtPtr;xmlRelaxNG;xmlRelaxNGValidCtxt
xmlRelaxNGFreeValidCtxt,function,relaxng.c:10480,,,xmlRegExecCtxtPtr;XMLPUBFUN;xmlRelaxNGValidCtxt
xmlRelaxNGSetValidErrors,function,relaxng.c:10526,,,xmlRelaxNGValidityErrorFunc;xmlRelaxNGValidityWarningFunc;XMLPUBFUN;xmlRelaxNGValidCtxt
xmlRelaxNGSetValidStructuredErrors,function,relaxng.c:10546,,,xmlStructuredErrorFunc;XMLPUBFUN;xmlRelaxNGValidCtxt
xmlRelaxNGGetValidErrors,function,relaxng.c:10567,,,xmlRelaxNGValidityErrorFunc;xmlRelaxNGValidityWarningFunc;XMLPUBFUN;xmlRelaxNGValidCtxt
xmlChar,struct,runtest.c:1573,,,xmlNodePtr;xmlChar;xmlParserErrors
xmlSchemaAttributeLink,struct,include/libxml/schemasInternals.h:259,,,
xmlSchematronFree,function,schematron.c:607,,,xmlSchematron;XMLPUBFUN
xmlSchematronNewMemParserCtxt,function,schematron.c:670,,,xmlSchematronParserCtxtPtr;xmlSchematronParserCtxt
xmlSchematronFreeParserCtxt,function,schematron.c:740,,,xmlSchematronParserCtxt;XMLPUBFUN
xmlSchematronSetValidStructuredErrors,function,schematron.c:1662,,,xmlSchematronValidCtxt;xmlStructuredErrorFunc;XMLPUBFUN
xmlSchematronNewValidCtxt,function,schematron.c:1681,,,xmlSchematronValidCtxt;xmlSchematronValidCtxtPtr;xmlSchematron
xmlSchematronFreeValidCtxt,function,schematron.c:1720,,,xmlSchematronValidCtxt;XMLPUBFUN
LLVMFuzzerMutate,function,fuzz/testFuzzer.c:20,,,
testXmlwriterFilename,function,example/testWriter.c:66,,,xmlTextWriterPtr
testXmlwriterMemory,function,example/testWriter.c:320,,,xmlBufferPtr;xmlTextWriterPtr
testXmlwriterDoc,function,example/testWriter.c:582,,,xmlDocPtr;xmlTextWriterPtr
testXmlwriterTree,function,example/testWriter.c:819,,,xmlDocPtr;xmlNodePtr;xmlTextWriterPtr
xmlLockLibrary,function,threads.c:294,,,XMLPUBFUN
xmlUnlockLibrary,function,threads.c:304,,,XMLPUBFUN
xmlInitThreads,function,threads.c:313,,,
xmlCleanupThreads,function,threads.c:325,,,
xmlInitParser,function,threads.c:398,,,XMLPUBFUN
xmlCleanupParser,function,threads.c:437,,,pthread_once_t;INIT_ONCE;XMLPUBFUN
xmlMutex,struct,include/private/threads.h:24,,,pthread_mutex_t;CRITICAL_SECTION
xmlRMutex,struct,include/private/threads.h:37,,,pthread_t;pthread_cond_t;pthread_mutex_t;CRITICAL_SECTION
compute_minrun,function,timsort.h:129,,static,
clzll,function,timsort.h:84,,static,
SORT_TYPE,struct,timsort.h:355,,,SORT_TYPE
xmlGetCompressMode,function,tree.c:6719,,,
xmlSetCompressMode,function,tree.c:6734,,,
xmlRegisterNodeDefault,function,tree.c:8888,,,xmlRegisterNodeFunc
xmlDeregisterNodeDefault,function,tree.c:8906,,,xmlDeregisterNodeFunc
